Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"MK","Indicateurs macro","004","Afghanistan","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","18896.352021","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","710","Afrique du Sud","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","380851.444101","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","008","Albanie","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","13019.729856","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","012","Algérie","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","170096.987241","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","276","Allemagne","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","3690849.152518","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","020","Andorre","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","3000.160225","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","024","Angola","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","122123.858628","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","660","Anguilla","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","281.055556","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","028","Antigua-et-Barbuda","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","1467.977778","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","682","Arabie saoudite","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","688586.094413","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","032","Argentine","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","643628.396191","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","051","Arménie","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","11527.458713","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","533","Aruba","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","3092.430168","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","036","Australie","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","1412242.647034","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","040","Autriche","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","417261.151845","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","031","Azerbaïdjan","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","40866.632048","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","044","Bahamas","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","12357.6","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","048","Bahreïn","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","35473.670213","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","050","Bangladesh","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","288958.017599","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","052","Barbade","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","4981.5885","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","112","Bélarus","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","54725.418814","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","056","Belgique","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","502764.720556","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","084","Belize","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","2286.221544","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","204","Bénin","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","12701.655846","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","060","Bermudes","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","7142.316","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","064","Bhoutan","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","2450.366316","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","068","Bolivie (État plurinational de)","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","37508.683068","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","070","Bosnie-Herzégovine","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","18080.610875","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","072","Botswana","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","16105.15335","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","076","Brésil","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","2063514.688762","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","096","Brunéi Darussalam","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","12128.166606","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","100","Bulgarie","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","59200.845118","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","854","Burkina Faso","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","14106.957348","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","108","Burundi","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","3297.826848","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","132","Cabo Verde","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","1769.786532","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","116","Cambodge","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","22177.200626","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","120","Cameroun","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","36098.547059","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","124","Canada","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","1649518.967468","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","152","Chili","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","277034.678676","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","159","Chine","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","12702203.973459","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","344","Chine - RAS de Hong-Kong","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","341271.09999","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","446","Chine - RAS de Macao","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","50440.935654","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","156","Chine, continentale","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","12310491.937814","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","196","Chypre","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","22946.535929","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","170","Colombie","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","311883.730442","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","174","Comores","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","1077.439756","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","178","Congo","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","11094.82324","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","188","Costa Rica","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","60516.044623","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","384","Côte d'Ivoire","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","51588.154312","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","191","Croatie","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","56323.840388","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","192","Cuba","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","96851","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","531","Curaçao","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","3009.497207","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","208","Danemark","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","332121.063806","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","262","Djibouti","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","2766.868072","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","212","Dominique","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","520.7","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","818","Égypte","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","195135.299313","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","222","El Salvador","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","24979.19","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","784","Émirats arabes unis","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","385605.506855","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","218","Équateur","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","104295.862","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","232","Érythrée","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","1903.966833","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","724","Espagne","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","1313245.330198","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","233","Estonie","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","26924.385103","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","748","Eswatini","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","4401.526105","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","840","États-Unis d'Amérique","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","19477337","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","231","Éthiopie","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","76794.68609","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","643","Fédération de Russie","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","1574199.379405","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","242","Fidji","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","5353.491805","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","246","Finlande","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","255647.979916","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","250","France","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","2595151.045198","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","266","Gabon","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","14929.646484","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","270","Gambie","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","1504.954335","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","268","Géorgie","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","16242.687078","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","288","Ghana","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","60403.027568","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","300","Grèce","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","199844.41844","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","308","Grenade","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","1125.685977","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","304","Groenland","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","2851.613478","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","320","Guatemala","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","71653.756545","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","324","Guinée","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","10324.668257","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","226","Guinée équatoriale","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","12200.908721","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","624","Guinée-Bissau","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","1350.177012","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","328","Guyana","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","4748.174334","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","332","Haïti","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","15237.360994","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","340","Honduras","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","23136.248046","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","348","Hongrie","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","143112.19604","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","136","Îles Caïmanes","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","5166.281305","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","184","Îles Cook","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","345.608995","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","584","Îles Marshall","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","213.06163","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","090","Îles Salomon","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","1469.790453","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","796","Îles Turques-et-Caïques","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","1022.365","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","092","Îles Vierges britanniques","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","1306.77","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","356","Inde","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","2624329.044214","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","360","Indonésie","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","1015618.744168","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","364","Iran (République islamique d')","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","503710.010469","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","368","Iraq","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","187217.652027","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","372","Irlande","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","336377.500161","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","352","Islande","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","24728.285177","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","376","Israël","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","355277.447952","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","380","Italie","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","1961796.197354","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","388","Jamaïque","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","14808.985267","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","392","Japon","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","4930837.369151","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","400","Jordanie","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","41408.450704","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","398","Kazakhstan","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","166805.788967","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","404","Kenya","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","82035.78793","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","417","Kirghizistan","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","7702.938395","X","Ciffre de sources internationales",""
"MK","Indicateurs macro","296","Kiribati","6110","Valeur US $","22008","Produit Intérieur Brut","2017","2017","Millions d’USD","188.182032","X","Ciffre de sources internationales",""
