Zone,TDI,TAS,Consommation_moyenne_poulet_en_kg,indice_stabilite_politique_2017,population_2017,Valeur US $ par habitant
Afrique du Sud,-6299999923.567171,-6299999976.432829,38.25660997391394,-0.28,57009756.0,6723.928582
Albanie,25.49019607843137,74.50980392156863,17.682736344506857,0.38,2884169.0,4521.752217
Algérie,99.27797833935018,0.7220216606498195,6.692568921802261,-0.92,41389189.0,4134.936055
Antigua-et-Barbuda,0.0,100.0,73.35527005218704,0.75,95426.0,16110.556281
Arabie saoudite,-999999953.961136,-999999946.038864,40.421520937366004,-0.64,33101179.0,20138.146333
Argentine,-20699999900.368835,-20699999999.631165,49.365980580438325,0.17,43937140.0,14609.78337
Arménie,23.91304347826087,76.08695652173914,15.620802970397559,-0.62,2944791.0,4041.995072
Australie,-4199999901.2451367,-4199999998.7548633,52.26845076311938,0.9,24584620.0,57430.803788
Autriche,-7799999942.635658,-7799999957.364342,29.252029019373346,1.05,8819901.0,47429.535841
Azerbaïdjan,79.38931297709924,20.610687022900763,13.305814336151593,-0.75,9845320.0,4057.624007
Barbade,88.23529411764706,11.76470588235294,59.39238100561782,0.97,286232.0,17843.196496
Belize,100.0,0.0,53.22418826459873,0.04,375769.0,6101.585949
Bolivie (État plurinational de),-99999900.18726592,-99999999.81273408,47.70900721933769,-0.28,11192855.0,3280.01179
Bosnie-Herzégovine,-799999914.0845071,-799999985.9154929,21.184386212246665,-0.35,3351525.0,5255.95028
Bulgarie,-4499999950.232558,-4499999949.767442,30.27127000226964,0.33,7102444.0,8242.455771
Bélarus,-15199999904.338842,-15199999995.661158,51.21567927810442,-0.05,9450231.0,5637.218565
Bénin,12.76595744680851,87.2340425531915,12.61722611089307,0.03,11175198.0,1095.274459
Canada,-16299999911.382114,-16299999988.617886,43.53141305988673,1.1,36732095.0,45125.109808
Chili,-11499999917.877739,-11499999982.122261,46.939869702068265,0.42,18470439.0,15081.989132
Chine - RAS de Macao,11.538461538461538,88.46153846153845,41.761365917906794,1.43,622585.0,78985.632295
Chypre,-99999935.8974359,-99999964.1025641,33.05986887947389,0.54,1179678.0,18987.256286
Colombie,-199999904.75030452,-199999995.24969548,33.57197720483194,-0.77,48909839.0,6450.319585
Costa Rica,-299999911.3333333,-299999988.6666667,30.30331190956522,0.61,4949954.0,12118.133618
Croatie,-1699999928.2352943,-1699999971.7647057,20.321038945390676,0.69,4182857.0,13434.533984
Danemark,-13899999943.464052,-13899999956.535948,53.38195627075747,0.87,5732274.0,57888.203513
Dominique,0.0,100.0,55.976937501749276,1.2,71458.0,7395.991648
El Salvador,-199999910.5263158,-199999989.4736842,23.79414557571344,-0.26,6388126.0,3986.049014
Espagne,-21199999911.918606,-21199999988.081394,36.8723437442253,0.28,46647428.0,28190.806667
Estonie,-1099999951.2195122,-1099999948.7804878,31.074966461774,0.65,1319390.0,20435.205904
Fidji,88.46153846153845,11.538461538461538,29.63101409866444,0.62,877459.0,5825.224293
Finlande,-1199999911.0344827,-1199999988.9655173,26.309243199196715,1.08,5511371.0,46412.760009
Gabon,5.0,95.0,38.744241031797884,-0.1,2064823.0,6975.769483
Ghana,28.436018957345972,71.56398104265402,7.245514605807091,0.09,29121465.0,1998.626958
Grèce,-2899999924.3076925,-2899999975.6923075,30.74899829224794,-0.07,10569450.0,18690.624484
Guyana,100.0,0.0,39.988545216725015,-0.04,775222.0,6220.978568
Géorgie,-499999969.86301374,-499999930.13698626,18.21031971334462,-0.37,4008716.0,4306.234809
Honduras,-99999905.85365854,-99999994.14634146,21.741406019908975,-0.56,9429013.0,2403.306094
Hongrie,-20999999910.526314,-20999999989.473686,56.630012693961646,0.81,9729823.0,14619.783288
Iran (République islamique d'),-4499999900.275229,-4499999999.724771,27.022376002404645,-0.93,80673883.0,5960.707147
Irlande,-9299999947.368422,-9299999952.631578,43.969647058378015,1.0,4753279.0,70491.993292
Islande,83.33333333333334,16.666666666666664,35.885918664565345,1.35,334393.0,71961.532039
Israël,-299999900.0,-300000000.0,76.29932041444724,-0.89,8243848.0,42756.825063
Italie,-18299999906.86969,-18299999993.13031,23.27202687042282,0.31,60673701.0,32694.406225
Jamaïque,-99999919.49685535,-99999980.50314465,54.43624591214606,0.31,2920848.0,5273.149061
Japon,-999999932.5517662,-999999967.4482338,25.75631226705155,1.11,127502725.0,38928.952604
Jordanie,-999999923.3576642,-999999976.6423358,27.999631712873384,-0.45,9785843.0,4053.539531
Kazakhstan,-599999950.4347826,-599999949.5652174,19.081838354262793,0.03,18080019.0,9107.697679
Kirghizistan,21.875,78.125,5.169851429778958,-0.38,6189733.0,1258.390778
Koweït,-399999970.98445594,-399999929.01554406,47.582665018777895,-0.05,4056099.0,29258.289476
Lettonie,-1999999956.5789473,-1999999943.4210527,38.952445726686065,0.46,1951097.0,15593.840393
Lituanie,-6799999927.160494,-6799999972.839506,56.933718608258765,0.78,2845414.0,16443.298019
Macédoine du Nord,-99999995.23809524,-99999904.76190476,20.172949419691488,-0.25,2081996.0,5353.775388
Malaisie,-4399999903.794642,-4399999996.205358,57.61197217933295,0.12,31104646.0,9979.704757
Malte,30.76923076923077,69.23076923076923,29.684906138610245,1.25,437933.0,28122.28717
Maroc,-99999900.39215687,-99999999.60784313,21.50008480589007,-0.37,35581255.0,3336.528682
Maurice,96.0,4.0,39.54135195045627,0.97,1264499.0,10591.698261
Mexique,-899999923.0277187,-899999976.9722813,33.82826193643967,-0.8,124777324.0,9434.378179
Monténégro,33.33333333333333,66.66666666666666,19.121586199313853,-0.06,627563.0,7679.191234
Namibie,-1199999972.5,-1199999927.5,16.648401982325225,0.63,2402633.0,5450.334513
Norvège,98.05825242718447,1.9417475728155338,19.447443378674198,1.17,5296326.0,75490.688444
Nouvelle-Zélande,-2299999900.446429,-2299999999.553571,47.63895794883661,1.6,4702034.0,43534.089383
Oman,-1599999994.7368422,-1599999905.2631578,28.504511857019654,0.75,4665928.0,17802.548365
Ouganda,100.0,0.0,1.578950385686567,-0.57,41166588.0,787.332281
Panama,90.82568807339449,9.174311926605505,53.083092815787786,0.39,4106769.0,15185.978635
Paraguay,-399999902.17391306,-399999997.82608694,6.698644441923554,0.0,6867061.0,6136.058354
Portugal,-4399999918.510159,-4399999981.489841,43.05766996577839,1.12,10288527.0,21475.355853
Pérou,-99999903.93442623,-99999996.06557377,48.49845908469637,-0.26,31444298.0,6676.307788
Roumanie,-6899999927.137547,-6899999972.862453,27.373605809595,0.06,19653969.0,10667.990723
République de Corée,-599999914.051282,-599999985.948718,19.081573531137163,0.39,51096415.0,31524.94267
République de Moldova,77.14285714285715,22.857142857142858,17.24272135466701,-0.32,4059684.0,3040.315517
République dominicaine,-599999911.023622,-599999988.976378,36.24048615898787,0.16,10513104.0,7513.497951
Saint-Kitts-et-Nevis,0.0,100.0,76.85656643289461,0.65,52045.0,22160.60363
Sainte-Lucie,-151990.9090909091,-151909.0909090909,60.78892978325983,0.99,180954.0,11270.8092
Samoa,0.0,100.0,87.02240058970474,1.18,195352.0,4246.467778
Serbie,-699999912.371134,-699999987.628866,10.985740282603071,0.09,8829628.0,5918.256598
Slovaquie,-3499999947.0149255,-3499999952.9850745,24.59663356522697,0.91,5447900.0,17584.598912
Slovénie,-2899999921.7391305,-2899999978.2608695,44.30758324287202,0.87,2076394.0,23155.397106
Sri Lanka,-199999900.0,-200000000.0,9.08745310495554,-0.07,21128032.0,4065.135897
Suisse,-399999935.91549295,-399999964.08450705,16.793199085503876,1.26,8455804.0,83353.597567
Suriname,-499999964.28571427,-499999935.71428573,49.080098721112854,0.13,570496.0,5774.654844
Suède,-2299999934.854772,-2299999965.145228,24.331401359489288,0.98,9904896.0,53788.877499
Sénégal,100.0,0.0,4.993723797136781,-0.05,15419355.0,1385.199669
Tadjikistan,-2995.0,-2905.0,4.50436856184971,-0.67,8880268.0,844.36525
Tchéquie,-2699999941.5770607,-2699999958.4229393,26.219256512102113,1.0,10641034.0,20759.909712
Trinité-et-Tobago,72.61904761904762,27.380952380952383,60.69105435534179,0.28,1384059.0,16094.666782
Tunisie,-399999900.0,-400000000.0,18.62955891764187,-1.02,11433443.0,3569.718839
Uruguay,-299999908.3333334,-299999991.6666666,10.475344966203918,1.05,3436641.0,18769.787523
Viet Nam,-99999924.06947891,-99999975.93052109,12.780039307975988,0.23,94600648.0,2992.071534
Zambie,-99999919.67213114,-99999980.32786886,3.6194049710094562,0.15,16853599.0,1495.437665
Émirats arabes unis,-9399999990.02079,-9399999909.97921,50.699874346527636,0.62,9487203.0,42522.377617
Équateur,100.0,0.0,20.255745467732268,-0.07,16785361.0,6246.404252
Îles Salomon,0.0,100.0,9.433383801936674,0.2,636039.0,2283.581124
