Zone,Disponibilité en kg,Exportations en kg,Importation en kg,Production en kg,population_2017,proportion_ss_nutrition_2017,indice_stabilite_politique_2017,inflation_food_price_2017,Valeur US $ par habitant,TAS,TDI,Consommation_moyenne_poulet_en_kg
Afrique du Sud,2118000000.0,63000000.0,514000000.0,1667000000.0,57009756.0,5.44,-0.28,63.09138091666667,6723.928582,24.268177525967893,-6299999923.567171,38.25660997391394
Albanie,47000000.0,0.0,38000000.0,13000000.0,2884169.0,3.47,0.38,55.61875666666666,4521.752217,74.50980392156863,25.49019607843137,17.682736344506857
Algérie,277000000.0,0.0,2000000.0,275000000.0,41389189.0,3.14,-0.92,56.813369625,4134.936055,0.7220216606498195,99.27797833935018,6.692568921802261
Antigua-et-Barbuda,7000000.0,0.0,7000000.0,0.0,95426.0,0.0,0.75,51.798488291666665,16110.556281,100.0,0.0,73.35527005218704
Arabie saoudite,1435000000.0,10000000.0,722000000.0,616000000.0,33101179.0,4.83,-0.64,48.52634841666667,20138.146333,54.36746987951807,-999999953.961136,40.421520937366004
Argentine,1962000000.0,207000000.0,8000000.0,2161000000.0,43937140.0,3.41,0.17,75.40216658333334,14609.78337,0.40774719673802245,-20699999900.368835,49.365980580438325
Arménie,47000000.0,0.0,35000000.0,11000000.0,2944791.0,0.0,-0.62,52.42485679166666,4041.995072,76.08695652173914,23.91304347826087,15.620802970397559
Australie,1171000000.0,42000000.0,16000000.0,1269000000.0,24584620.0,0.0,0.9,51.222297499999996,57430.803788,1.2872083668543846,-4199999901.2451367,52.26845076311938
Autriche,173000000.0,78000000.0,110000000.0,148000000.0,8819901.0,0.0,1.05,52.74149654166666,47429.535841,61.111111111111114,-7799999942.635658,29.252029019373346
Azerbaïdjan,129000000.0,0.0,27000000.0,104000000.0,9845320.0,0.0,-0.75,75.34513199999999,4057.624007,20.610687022900763,79.38931297709924,13.305814336151593
Bangladesh,250000000.0,820.0,0.0,249000000.0,159685424.0,13.46,-1.26,59.60069716666666,1785.962903,0.0,-81900.0,1.5593157707368457
Barbade,17000000.0,0.0,2000000.0,15000000.0,286232.0,0.0,0.97,60.62137525,17843.196496,11.76470588235294,88.23529411764706,59.39238100561782
Belize,19000000.0,0.0,0.0,20000000.0,375769.0,0.0,0.04,48.90760970833333,6101.585949,0.0,100.0,53.22418826459873
Bolivie (État plurinational de),429000000.0,1000000.0,1000000.0,533000000.0,11192855.0,15.19,-0.28,56.21232929166666,3280.01179,0.18761726078799248,-99999900.18726592,47.70900721933769
Bosnie-Herzégovine,55000000.0,8000000.0,10000000.0,61000000.0,3351525.0,0.0,-0.35,50.652893625,5255.95028,15.873015873015872,-799999914.0845071,21.184386212246665
Bélarus,265000000.0,152000000.0,21000000.0,463000000.0,9450231.0,0.0,-0.05,62.83723416666667,5637.218565,6.325301204819277,-15199999904.338842,51.21567927810442
Bénin,161000000.0,0.0,123000000.0,18000000.0,11175198.0,7.16,0.03,51.445098708333326,1095.274459,87.2340425531915,12.76595744680851,12.61722611089307
Cameroun,82000000.0,0.0,0.0,81000000.0,24566073.0,6.51,-1.1,50.5799005,1479.862223,0.0,100.0,3.2972302899205745
Canada,1433000000.0,163000000.0,182000000.0,1417000000.0,36732095.0,0.0,1.1,49.5094455,45125.109808,12.674094707520892,-16299999911.382114,43.53141305988673
Chili,672000000.0,115000000.0,155000000.0,712000000.0,18470439.0,3.25,0.42,53.96839,15081.989132,20.611702127659576,-11499999917.877739,46.939869702068265
Chine - RAS de Macao,19000000.0,0.0,23000000.0,3000000.0,622585.0,0.0,1.43,53.00086216666667,78985.632295,88.46153846153845,11.538461538461538,41.761365917906794
Chypre,38000000.0,1000000.0,14000000.0,25000000.0,1179678.0,0.0,0.54,49.61486420833333,18987.256286,36.84210526315789,-99999935.8974359,33.05986887947389
Colombie,1643000000.0,2000000.0,78000000.0,1564000000.0,48909839.0,5.52,-0.77,57.30485604166666,6450.319585,4.7560975609756095,-199999904.75030452,33.57197720483194
Costa Rica,134000000.0,3000000.0,17000000.0,133000000.0,4949954.0,4.04,0.61,51.278132875000004,12118.133618,11.564625850340136,-299999911.3333333,30.30331190956522
Croatie,45000000.0,17000000.0,24000000.0,61000000.0,4182857.0,0.0,0.69,52.673792041666665,13434.533984,35.294117647058826,-1699999928.2352943,20.321038945390676
Danemark,167000000.0,139000000.0,133000000.0,173000000.0,5732274.0,0.0,0.87,52.860478916666665,57888.203513,79.64071856287424,-13899999943.464052,53.38195627075747
Dominique,4000000.0,0.0,4000000.0,0.0,71458.0,0.0,1.2,49.82125575,7395.991648,100.0,0.0,55.976937501749276
El Salvador,131000000.0,2000000.0,16000000.0,136000000.0,6388126.0,9.39,-0.26,49.88870541666666,3986.049014,10.666666666666668,-199999910.5263158,23.79414557571344
Espagne,1497000000.0,212000000.0,205000000.0,1515000000.0,46647428.0,0.0,0.28,51.93959170833333,28190.806667,13.59416445623342,-21199999911.918606,36.8723437442253
Estonie,29000000.0,11000000.0,21000000.0,20000000.0,1319390.0,0.0,0.65,55.73940620833333,20435.205904,70.0,-1099999951.2195122,31.074966461774
Eswatini,7000000.0,0.0,2000000.0,6000000.0,1124805.0,17.78,-0.27,66.16312012499999,3822.79341,25.0,75.0,7.112343917390126
Fidji,26000000.0,0.0,3000000.0,23000000.0,877459.0,0.0,0.62,50.81171079166666,5825.224293,11.538461538461538,88.46153846153845,29.63101409866444
Finlande,111000000.0,12000000.0,16000000.0,129000000.0,5511371.0,0.0,1.08,48.516612333333335,46412.760009,12.030075187969924,-1199999911.0344827,26.309243199196715
Gabon,78000000.0,0.0,76000000.0,4000000.0,2064823.0,14.53,-0.1,49.233671208333334,6975.769483,95.0,5.0,38.744241031797884
Ghana,211000000.0,0.0,151000000.0,60000000.0,29121465.0,6.87,0.09,61.910411833333335,1998.626958,71.56398104265402,28.436018957345972,7.245514605807091
Grèce,178000000.0,29000000.0,79000000.0,246000000.0,10569450.0,0.0,-0.07,50.20835108333333,18690.624484,26.68918918918919,-2899999924.3076925,30.74899829224794
Guatemala,357000000.0,7000000.0,129000000.0,235000000.0,16914970.0,15.96,-0.65,64.32327079166667,4322.031108,36.134453781512605,-699999935.4395604,21.51939967969201
Géorgie,61000000.0,5000000.0,51000000.0,22000000.0,4008716.0,7.48,-0.37,57.668210875,4306.234809,75.0,-499999969.86301374,18.21031971334462
Honduras,205000000.0,1000000.0,12000000.0,193000000.0,9429013.0,13.79,-0.56,52.07550645833334,2403.306094,5.88235294117647,-99999905.85365854,21.741406019908975
Hongrie,266000000.0,210000000.0,58000000.0,493000000.0,9729823.0,0.0,0.81,52.780590625,14619.783288,17.008797653958943,-20999999910.526314,56.630012693961646
Indonésie,2323000000.0,0.0,1000000.0,2301000000.0,264650963.0,8.92,-0.5,55.61640245833333,3839.785075,0.043440486533449174,99.95655951346654,8.698249097245869
Iran (République islamique d'),2220000000.0,45000000.0,6000000.0,2174000000.0,80673883.0,4.83,-0.93,66.24306216666666,5960.707147,0.2810304449648712,-4499999900.275229,27.022376002404645
Irlande,128000000.0,93000000.0,99000000.0,110000000.0,4753279.0,0.0,1.0,47.27437191666667,70491.993292,85.34482758620689,-9299999947.368422,43.969647058378015
Islande,10000000.0,0.0,2000000.0,10000000.0,334393.0,0.0,1.35,48.22923779166666,71961.532039,16.666666666666664,83.33333333333334,35.885918664565345
Israël,636000000.0,3000000.0,0.0,629000000.0,8243848.0,0.0,-0.89,49.407638541666664,42756.825063,0.0,-299999900.0,76.29932041444724
Italie,1173000000.0,183000000.0,97000000.0,1315000000.0,60673701.0,0.0,0.31,51.985917625000006,32694.406225,7.892595606183889,-18299999906.86969,23.27202687042282
Jamaïque,152000000.0,1000000.0,31000000.0,128000000.0,2920848.0,10.27,0.31,56.57407758333333,5273.149061,19.62025316455696,-99999919.49685535,54.43624591214606
Jordanie,275000000.0,10000000.0,64000000.0,210000000.0,9785843.0,8.18,-0.45,47.868270583333334,4053.539531,24.242424242424242,-999999923.3576642,27.999631712873384
Kazakhstan,331000000.0,6000000.0,174000000.0,171000000.0,18080019.0,0.0,0.03,65.608180125,9107.697679,51.32743362831859,-599999950.4347826,19.081838354262793
Kirghizistan,32000000.0,0.0,25000000.0,7000000.0,6189733.0,6.46,-0.38,49.179962875,1258.390778,78.125,21.875,5.169851429778958
Koweït,189000000.0,4000000.0,137000000.0,56000000.0,4056099.0,0.0,-0.05,50.65694933333333,29258.289476,72.4867724867725,-399999970.98445594,47.582665018777895
Lettonie,41000000.0,20000000.0,43000000.0,33000000.0,1951097.0,0.0,0.46,56.15894658333334,15593.840393,76.78571428571429,-1999999956.5789473,38.952445726686065
Liban,73000000.0,4000000.0,13000000.0,64000000.0,6819373.0,5.87,-1.63,53.04333491666667,8679.897422,17.80821917808219,-399999916.88311684,11.291360657350756
Lituanie,82000000.0,68000000.0,44000000.0,118000000.0,2845414.0,0.0,0.78,54.202424416666666,16443.298019,46.808510638297875,-6799999927.160494,56.933718608258765
Luxembourg,11000000.0,1000000.0,11000000.0,0.0,591910.0,0.0,1.33,53.60372108333333,110203.008207,110.00000000000001,-100000000.0,18.58390633711206
Macédoine du Nord,41000000.0,1000000.0,40000000.0,2000000.0,2081996.0,0.0,-0.25,49.60321029166667,5353.775388,97.5609756097561,-99999995.23809524,20.172949419691488
Malaisie,1621000000.0,44000000.0,68000000.0,1724000000.0,31104646.0,3.21,0.12,56.193542791666665,9979.704757,3.8901601830663615,-4399999903.794642,57.61197217933295
Malte,14000000.0,0.0,9000000.0,4000000.0,437933.0,0.0,1.25,54.58761858333333,28122.28717,69.23076923076923,30.76923076923077,29.684906138610245
Maroc,746000000.0,1000000.0,3000000.0,762000000.0,35581255.0,3.93,-0.37,51.4167215,3336.528682,0.3926701570680628,-99999900.39215687,21.50008480589007
Maurice,49000000.0,0.0,2000000.0,48000000.0,1264499.0,0.0,0.97,54.39472645833334,10591.698261,4.0,96.0,39.54135195045627
Monténégro,10000000.0,0.0,8000000.0,4000000.0,627563.0,0.0,-0.06,51.319116333333334,7679.191234,66.66666666666666,33.33333333333333,19.121586199313853
Myanmar,1666000000.0,0.0,3000000.0,1662000000.0,53382523.0,13.67,-1.08,57.29971454166667,1304.481669,0.18018018018018017,99.81981981981983,31.189983283480252
Namibie,28000000.0,12000000.0,29000000.0,11000000.0,2402633.0,12.49,0.63,61.33348841666666,5450.334513,103.57142857142858,-1199999972.5,16.648401982325225
Nicaragua,138000000.0,0.0,6000000.0,143000000.0,6384846.0,17.23,-0.05,51.354387833333334,2127.277953,4.026845637583892,95.9731543624161,23.336506471730093
Niger,21000000.0,0.0,3000000.0,19000000.0,21602382.0,0.0,-1.27,52.78436658333334,514.543477,13.636363636363635,86.36363636363636,1.0184062109447005
Nigéria,202000000.0,0.0,0.0,201000000.0,190873244.0,11.95,-2.0,78.314093875,1941.873934,0.0,100.0,1.0530548744694672
Norvège,102000000.0,0.0,2000000.0,101000000.0,5296326.0,0.0,1.17,51.298071375,75490.688444,1.9417475728155338,98.05825242718447,19.447443378674198
Nouvelle-Zélande,168000000.0,23000000.0,1000000.0,223000000.0,4702034.0,0.0,1.6,51.918679875,43534.089383,0.4975124378109453,-2299999900.446429,47.63895794883661
Oman,114000000.0,16000000.0,126000000.0,7000000.0,4665928.0,8.57,0.75,49.96561366666666,17802.548365,107.6923076923077,-1599999994.7368422,28.504511857019654
Ouganda,66000000.0,0.0,0.0,65000000.0,41166588.0,0.0,-0.57,63.257389499999995,787.332281,0.0,100.0,1.578950385686567
Pakistan,1282000000.0,4000000.0,2000000.0,1281000000.0,207906209.0,11.93,-2.41,54.567039666666666,1558.080077,0.1563721657544957,-399999900.1558846,6.171051870798144
Panama,192000000.0,0.0,20000000.0,198000000.0,4106769.0,7.31,0.39,50.120337500000005,15185.978635,9.174311926605505,90.82568807339449,53.083092815787786
Paraguay,41000000.0,4000000.0,1000000.0,45000000.0,6867061.0,8.74,0.0,58.876579416666665,6136.058354,2.380952380952381,-399999902.17391306,6.698644441923554
Philippines,1521000000.0,2000000.0,249000000.0,1272000000.0,105172925.0,14.93,-1.19,53.8671915,3077.434432,16.392363396971692,-199999916.3708087,14.461896918812517
Portugal,325000000.0,44000000.0,82000000.0,361000000.0,10288527.0,0.0,1.12,51.784096625,21475.355853,20.551378446115287,-4399999918.510159,43.05766996577839
Pérou,1523000000.0,1000000.0,60000000.0,1465000000.0,31444298.0,7.0,-0.26,54.857986333333336,6676.307788,3.937007874015748,-99999903.93442623,48.49845908469637
Roumanie,381000000.0,69000000.0,146000000.0,392000000.0,19653969.0,0.0,0.06,51.20890420833334,10667.990723,31.13006396588486,-6899999927.137547,27.373605809595
République de Corée,854000000.0,6000000.0,137000000.0,838000000.0,51096415.0,0.0,0.39,54.60287962499999,31524.94267,14.138286893704851,-599999914.051282,19.081573531137163
République de Moldova,66000000.0,0.0,16000000.0,54000000.0,4059684.0,0.0,-0.32,61.879271625,3040.315517,22.857142857142858,77.14285714285715,17.24272135466701
République dominicaine,375000000.0,6000000.0,42000000.0,339000000.0,10513104.0,5.71,0.16,53.448172416666665,7513.497951,11.200000000000001,-599999911.023622,36.24048615898787
Saint-Kitts-et-Nevis,4000000.0,0.0,4000000.0,0.0,52045.0,0.0,0.65,46.80830649999999,22160.60363,100.0,0.0,76.85656643289461
Sainte-Lucie,11000000.0,1520.0,10000000.0,1000000.0,180954.0,0.0,0.99,46.96492258333333,11270.8092,90.92165462863959,-151990.9090909091,60.78892978325983
Samoa,15000000.0,0.0,17000000.0,0.0,195352.0,0.0,1.18,54.344403625000005,4246.467778,100.0,0.0,87.02240058970474
Serbie,90000000.0,7000000.0,12000000.0,85000000.0,8829628.0,4.53,0.09,53.13267008333333,5918.256598,13.333333333333334,-699999912.371134,10.985740282603071
Slovaquie,74000000.0,35000000.0,63000000.0,71000000.0,5447900.0,5.51,0.91,52.52887875,17584.598912,63.63636363636363,-3499999947.0149255,24.59663356522697
Slovénie,52000000.0,29000000.0,20000000.0,72000000.0,2076394.0,0.0,0.87,52.6955865,23155.397106,31.746031746031743,-2899999921.7391305,44.30758324287202
Sri Lanka,192000000.0,2000000.0,0.0,192000000.0,21128032.0,7.57,-0.07,63.086463916666666,4065.135897,0.0,-199999900.0,9.08745310495554
Suisse,133000000.0,4000000.0,51000000.0,91000000.0,8455804.0,0.0,1.26,50.612908833333336,83353.597567,36.95652173913043,-399999935.91549295,16.793199085503876
Suriname,25000000.0,5000000.0,18000000.0,10000000.0,570496.0,0.0,0.13,115.00915058333334,5774.654844,78.26086956521739,-499999964.28571427,49.080098721112854
Suède,187000000.0,23000000.0,84000000.0,157000000.0,9904896.0,0.0,0.98,52.68162029166666,53788.877499,38.53211009174312,-2299999934.854772,24.331401359489288
Sénégal,77000000.0,0.0,0.0,77000000.0,15419355.0,9.73,-0.05,53.38195295833333,1385.199669,0.0,100.0,4.993723797136781
Tadjikistan,40000000.0,30.0,38000000.0,2000000.0,8880268.0,0.0,-0.67,62.05578258333333,844.36525,95.00007125005344,-2995.0,4.50436856184971
Tchéquie,249000000.0,27000000.0,116000000.0,163000000.0,10641034.0,0.0,1.0,54.68423154166666,20759.909712,46.03174603174603,-2699999941.5770607,26.219256512102113
Trinité-et-Tobago,76000000.0,0.0,23000000.0,61000000.0,1384059.0,0.0,0.28,56.79097708333333,16094.666782,27.380952380952383,72.61904761904762,60.69105435534179
Tunisie,195000000.0,4000000.0,0.0,213000000.0,11433443.0,0.0,-1.02,57.06724029166667,3569.718839,0.0,-399999900.0,18.62955891764187
Ukraine,1009000000.0,273000000.0,121000000.0,1211000000.0,44487709.0,3.37,-1.87,68.18729841666666,2510.017662,11.425873465533522,-27299999909.084084,29.940854000820767
Uruguay,33000000.0,3000000.0,3000000.0,33000000.0,3436641.0,0.0,1.05,57.79091775,18769.787523,9.090909090909092,-299999908.3333334,10.475344966203918
Viet Nam,1206000000.0,1000000.0,291000000.0,918000000.0,94600648.0,6.87,0.23,50.092969625,2992.071534,24.089403973509935,-99999924.06947891,12.780039307975988
Yémen,246000000.0,0.0,78000000.0,168000000.0,27834819.0,0.0,-2.94,66.29015208333333,612.353054,31.70731707317073,68.29268292682927,8.837851613118088
Zambie,60000000.0,1000000.0,12000000.0,49000000.0,16853599.0,0.0,0.15,67.17952591666666,1495.437665,20.0,-99999919.67213114,3.6194049710094562
Égypte,1250000000.0,1000000.0,110000000.0,1118000000.0,96442591.0,4.77,-1.42,100.39523370833332,1917.049576,8.964955175224123,-99999908.95765473,12.732963592817617
Émirats arabes unis,412000000.0,94000000.0,433000000.0,48000000.0,9487203.0,3.16,0.62,51.73203670833333,42522.377617,111.88630490956074,-9399999990.02079,50.699874346527636
Équateur,341000000.0,0.0,0.0,340000000.0,16785361.0,8.94,-0.07,51.77542016666666,6246.404252,0.0,100.0,20.255745467732268
Îles Salomon,3000000.0,0.0,6000000.0,0.0,636039.0,0.0,0.2,49.60883616666666,2283.581124,100.0,0.0,9.433383801936674
